"No.","Time","Source","Destination","Protocol","Length","Info"
"48","6.881686825","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=369 Ack=3507 Win=63542 Len=0"
"49","6.920072251","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"50","6.920544669","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=3507 Ack=459 Win=65535 Len=0"
"51","7.098318809","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"52","7.098361621","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=459 Ack=3636 Win=63542 Len=0"
"53","7.101663016","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"54","7.102798835","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=3636 Ack=553 Win=65535 Len=0"
"71","10.932348212","10.0.2.15","157.240.195.56","TLSv1.2","123","Application Data"
"72","10.935325944","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=3636 Ack=622 Win=65535 Len=0"
"73","11.072484750","157.240.195.56","10.0.2.15","TLSv1.2","125","Application Data"
"74","11.116866365","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=622 Ack=3707 Win=63542 Len=0"
"75","14.953528395","157.240.195.56","10.0.2.15","TLSv1.2","1323","Application Data"
"76","14.953595791","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=622 Ack=4976 Win=63542 Len=0"
"77","15.027349533","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"78","15.028121239","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=4976 Ack=712 Win=65535 Len=0"
"79","15.183073806","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"80","15.183147645","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=712 Ack=5105 Win=63542 Len=0"
"81","15.186598255","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"82","15.187236703","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=5105 Ack=806 Win=65535 Len=0"
"97","18.407346626","157.240.195.56","10.0.2.15","TLSv1.2","310","Application Data"
"98","18.447794648","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=806 Ack=5361 Win=63542 Len=0"
"99","18.488692647","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"100","18.489712962","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=5361 Ack=896 Win=65535 Len=0"
"101","18.660090960","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"102","18.660136925","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=896 Ack=5490 Win=63542 Len=0"
"103","18.662792576","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"104","18.663826849","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=5490 Ack=990 Win=65535 Len=0"
"120","21.729758260","157.240.195.56","10.0.2.15","TLSv1.2","1499","Application Data"
"121","21.772054124","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=990 Ack=6935 Win=63542 Len=0"
"122","21.783025355","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"123","21.783568190","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=6935 Ack=1080 Win=65535 Len=0"
"124","22.023558812","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"125","22.023622075","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1080 Ack=7064 Win=63542 Len=0"
"126","22.025328860","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"127","22.025864060","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=7064 Ack=1174 Win=65535 Len=0"
"144","28.259777830","157.240.195.56","10.0.2.15","TCP","1514","443  >  33254 [ACK] Seq=7064 Ack=1174 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"145","28.312474883","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1174 Ack=8524 Win=63542 Len=0"
"146","28.312648463","157.240.195.56","10.0.2.15","TLSv1.2","173","Application Data, Application Data"
"147","28.312727771","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1174 Ack=8643 Win=63542 Len=0"
"148","28.364926070","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"149","28.365367118","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=8643 Ack=1264 Win=65535 Len=0"
"150","28.605740388","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"151","28.605802569","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1264 Ack=8772 Win=63542 Len=0"
"152","28.608011276","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"153","28.608368151","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=8772 Ack=1358 Win=65535 Len=0"
"170","32.488891661","10.0.2.15","157.240.195.56","TLSv1.2","123","Application Data"
"171","32.491962178","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=8772 Ack=1427 Win=65535 Len=0"
"172","32.628595958","157.240.195.56","10.0.2.15","TLSv1.2","125","Application Data"
"173","32.679155245","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1427 Ack=8843 Win=63542 Len=0"
"174","39.247397116","157.240.195.56","10.0.2.15","TLSv1.2","859","Application Data"
"175","39.247466745","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1427 Ack=9648 Win=63542 Len=0"
"176","39.307291473","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"177","39.307677141","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=9648 Ack=1517 Win=65535 Len=0"
"178","40.306552327","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"179","40.306648950","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1517 Ack=9777 Win=63542 Len=0"
"182","40.338261721","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"183","40.338898636","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=9777 Ack=1611 Win=65535 Len=0"
"198","45.325432231","157.240.195.56","10.0.2.15","TCP","1514","443  >  33254 [ACK] Seq=9777 Ack=1611 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"199","45.373314422","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1611 Ack=11237 Win=63542 Len=0"
"200","45.373653270","157.240.195.56","10.0.2.15","TLSv1.2","173","Application Data, Application Data"
"201","45.373703531","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1611 Ack=11356 Win=63542 Len=0"
"202","45.429332971","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"203","45.430133669","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=11356 Ack=1701 Win=65535 Len=0"
"204","45.594062559","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"205","45.594156817","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1701 Ack=11485 Win=63542 Len=0"
"206","45.600547930","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"207","45.601083903","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=11485 Ack=1795 Win=65535 Len=0"
"221","47.778522677","157.240.195.56","10.0.2.15","TLSv1.2","310","Application Data"
"222","47.823767627","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1795 Ack=11741 Win=63542 Len=0"
"223","47.841484239","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"224","47.841935305","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=11741 Ack=1885 Win=65535 Len=0"
"225","48.044776822","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"226","48.044819298","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1885 Ack=11870 Win=63542 Len=0"
"227","48.052566918","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"228","48.055394386","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=11870 Ack=1979 Win=65535 Len=0"
"229","49.338131007","10.0.2.15","157.240.195.56","TLSv1.2","123","Application Data"
"230","49.340931715","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=11870 Ack=2048 Win=65535 Len=0"
"231","49.479972231","157.240.195.56","10.0.2.15","TLSv1.2","125","Application Data"
"232","49.524926743","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2048 Ack=11941 Win=63542 Len=0"
"247","54.789187547","157.240.195.56","10.0.2.15","TLSv1.2","1323","Application Data"
"248","54.789260490","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2048 Ack=13210 Win=63542 Len=0"
"249","54.856246752","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"250","54.856862372","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=13210 Ack=2138 Win=65535 Len=0"
"251","55.131448053","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"252","55.131481663","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2138 Ack=13339 Win=63542 Len=0"
"253","55.133365854","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"254","55.134903667","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=13339 Ack=2232 Win=65535 Len=0"
"268","58.573839046","157.240.195.56","10.0.2.15","TLSv1.2","243","Application Data"
"269","58.611649800","10.0.2.15","157.240.195.56","TLSv1.2","126","Application Data"
"270","58.612760419","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=13528 Ack=2304 Win=65535 Len=0"
"271","60.261019158","157.240.195.56","10.0.2.15","TLSv1.2","314","Application Data"
"272","60.300046422","10.0.2.15","157.240.195.56","TLSv1.2","147","Application Data"
"273","60.300918336","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=13788 Ack=2397 Win=65535 Len=0"
"274","60.650297052","157.240.195.56","10.0.2.15","TLSv1.2","172","Application Data"
"275","60.662011741","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"276","60.662487653","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=13906 Ack=2491 Win=65535 Len=0"
"277","63.899048399","157.240.195.56","10.0.2.15","TLSv1.2","147","Application Data"
"278","63.903325747","10.0.2.15","157.240.195.56","TLSv1.2","146","Application Data"
"279","63.903969260","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=13999 Ack=2583 Win=65535 Len=0"
"280","71.784519750","157.240.195.56","10.0.2.15","TLSv1.2","443","Application Data"
"281","71.827810019","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2583 Ack=14388 Win=63542 Len=0"
"282","71.846308731","10.0.2.15","157.240.195.56","TLSv1.2","147","Application Data"
"283","71.846721065","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=14388 Ack=2676 Win=65535 Len=0"
"284","72.184254319","157.240.195.56","10.0.2.15","TLSv1.2","172","Application Data"
"285","72.184285716","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2676 Ack=14506 Win=63542 Len=0"
"286","72.191531886","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"287","72.191822550","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=14506 Ack=2770 Win=65535 Len=0"
"288","72.800165789","10.0.2.15","157.240.195.56","TLSv1.2","123","Application Data"
"289","72.800851136","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=14506 Ack=2839 Win=65535 Len=0"
"290","72.940099401","157.240.195.56","10.0.2.15","TLSv1.2","125","Application Data"
"291","72.984220194","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2839 Ack=14577 Win=63542 Len=0"
"292","75.984436715","157.240.195.56","10.0.2.15","TLSv1.2","147","Application Data"
"293","75.984507883","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2839 Ack=14670 Win=63542 Len=0"
"294","75.988077101","10.0.2.15","157.240.195.56","TLSv1.2","146","Application Data"
"295","75.988652117","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=14670 Ack=2931 Win=65535 Len=0"
"296","77.108185958","157.240.195.56","10.0.2.15","TCP","1446","443  >  33254 [PSH, ACK] Seq=14670 Ack=2931 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"297","77.110332255","157.240.195.56","10.0.2.15","TLSv1.2","175","Application Data"
"298","77.110393513","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=2931 Ack=16183 Win=63542 Len=0"
"301","77.186190726","10.0.2.15","157.240.195.56","TLSv1.2","147","Application Data"
"302","77.186471193","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=16183 Ack=3024 Win=65535 Len=0"
"320","77.396238900","157.240.195.56","10.0.2.15","TLSv1.2","172","Application Data"
"321","77.406623448","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"323","77.407298668","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=16301 Ack=3118 Win=65535 Len=0"
"516","79.546425470","157.240.195.56","10.0.2.15","TLSv1.2","147","Application Data"
"517","79.549990690","10.0.2.15","157.240.195.56","TLSv1.2","146","Application Data"
"518","79.550877616","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=16394 Ack=3210 Win=65535 Len=0"
"519","82.364982541","157.240.195.56","10.0.2.15","TLSv1.2","617","Application Data"
"520","82.408605286","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=3210 Ack=16957 Win=63542 Len=0"
"521","82.410145139","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"522","82.410612234","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=16957 Ack=3300 Win=65535 Len=0"
"523","83.429160413","157.240.195.56","10.0.2.15","TLSv1.2","1323","Application Data"
"524","83.429192850","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=3300 Ack=18226 Win=63542 Len=0"
"525","83.429160685","157.240.195.56","10.0.2.15","TCP","1514","443  >  33254 [ACK] Seq=18226 Ack=3300 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"526","83.429213937","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=3300 Ack=19686 Win=62780 Len=0"
"527","83.429160720","157.240.195.56","10.0.2.15","TLSv1.2","60","Application Data"
"528","83.429220723","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=3300 Ack=19687 Win=62779 Len=0"
"529","83.539217490","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"530","83.539985970","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=19687 Ack=3390 Win=65535 Len=0"
"531","83.582982265","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"532","83.583254259","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=19687 Ack=3480 Win=65535 Len=0"
"533","83.624541295","157.240.195.56","10.0.2.15","TLSv1.2","1649","Application Data, Application Data"
"534","83.624573098","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=3480 Ack=21282 Win=62779 Len=0"
"535","83.650843206","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"536","83.651241155","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=21282 Ack=3570 Win=65535 Len=0"
"537","83.855069144","157.240.195.56","10.0.2.15","TLSv1.2","859","Application Data"
"538","83.891028669","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"539","83.891575476","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=22087 Ack=3660 Win=65535 Len=0"
"555","86.734735285","157.240.195.56","10.0.2.15","TLSv1.2","249","Application Data"
"556","86.742369898","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"557","86.743469685","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=22282 Ack=3754 Win=65535 Len=0"
"558","87.194231724","157.240.195.56","10.0.2.15","TLSv1.2","1765","Application Data, Application Data"
"559","87.194297649","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=3754 Ack=23993 Win=62779 Len=0"
"560","87.228996264","10.0.2.15","157.240.195.56","TLSv1.2","147","Application Data"
"561","87.230309408","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=23993 Ack=3847 Win=65535 Len=0"
"564","87.461694749","157.240.195.56","10.0.2.15","TLSv1.2","172","Application Data"
"565","87.471213124","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"566","87.471866485","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24111 Ack=3941 Win=65535 Len=0"
"584","89.882163956","10.0.2.15","157.240.195.56","TLSv1.2","123","Application Data"
"585","89.882729283","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24111 Ack=4010 Win=65535 Len=0"
"586","90.019115189","157.240.195.56","10.0.2.15","TLSv1.2","125","Application Data"
"587","90.059828076","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=4010 Ack=24182 Win=62779 Len=0"
"588","91.036192601","157.240.195.56","10.0.2.15","TLSv1.2","147","Application Data"
"589","91.036262348","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=4010 Ack=24275 Win=62779 Len=0"
"590","91.039456106","10.0.2.15","157.240.195.56","TLSv1.2","146","Application Data"
"591","91.039967421","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24275 Ack=4102 Win=65535 Len=0"
"592","92.430119626","10.0.2.15","157.240.195.56","TLSv1.2","3482","Application Data"
"593","92.431173899","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24275 Ack=5562 Win=65535 Len=0"
"594","92.431174092","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24275 Ack=7022 Win=65535 Len=0"
"595","92.431174142","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24275 Ack=7530 Win=65535 Len=0"
"600","92.446963887","10.0.2.15","157.240.195.56","TCP","74","58250  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1938752937 TSecr=0 WS=128"
"601","92.493541123","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"602","92.493661648","10.0.2.15","157.240.195.56","TCP","54","58250  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"603","92.493993963","10.0.2.15","157.240.195.56","TLSv1.3","571","Client Hello"
"604","92.495134090","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"605","92.537743798","157.240.195.56","10.0.2.15","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"606","92.537835311","10.0.2.15","157.240.195.56","TCP","54","58250  >  443 [ACK] Seq=518 Ack=213 Win=64028 Len=0"
"607","92.542252711","10.0.2.15","157.240.195.56","TLSv1.3","118","Change Cipher Spec, Application Data"
"608","92.542471531","10.0.2.15","157.240.195.56","TLSv1.3","152","Application Data"
"609","92.543022117","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=213 Ack=582 Win=65535 Len=0"
"610","92.543114346","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=213 Ack=680 Win=65535 Len=0"
"611","92.543495977","10.0.2.15","157.240.195.56","TLSv1.3","515","Application Data"
"612","92.543562699","10.0.2.15","157.240.195.56","TLSv1.3","920","Application Data"
"613","92.543775364","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=213 Ack=1141 Win=65535 Len=0"
"614","92.543868033","10.0.2.15","157.240.195.56","TLSv1.3","177","Application Data"
"615","92.543968087","10.0.2.15","157.240.195.56","TLSv1.3","920","Application Data"
"616","92.544039096","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=213 Ack=2007 Win=65535 Len=0"
"617","92.544039236","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=213 Ack=2130 Win=65535 Len=0"
"618","92.544123032","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=213 Ack=2996 Win=65535 Len=0"
"619","92.567767614","157.240.195.56","10.0.2.15","TLSv1.2","117","Application Data"
"620","92.585880908","157.240.195.56","10.0.2.15","TLSv1.3","225","Application Data"
"621","92.586347168","157.240.195.56","10.0.2.15","TLSv1.3","128","Application Data"
"622","92.586437935","10.0.2.15","157.240.195.56","TCP","54","58250  >  443 [ACK] Seq=2996 Ack=458 Win=64028 Len=0"
"623","92.586540236","10.0.2.15","157.240.195.56","TLSv1.3","85","Application Data"
"624","92.586720639","157.240.195.56","10.0.2.15","TCP","60","443  >  58250 [ACK] Seq=458 Ack=3027 Win=65535 Len=0"
"625","92.587029528","157.240.195.56","10.0.2.15","TLSv1.3","98","Application Data"
"626","92.588772202","157.240.195.56","10.0.2.15","TLSv1.3","89","Application Data"
"627","92.588894770","10.0.2.15","157.240.195.56","TCP","54","58250  >  443 [ACK] Seq=3027 Ack=537 Win=64028 Len=0"
"628","92.608779151","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=7530 Ack=24338 Win=62779 Len=0"
"629","92.684531807","157.240.195.56","10.0.2.15","TLSv1.3","744","Application Data, Application Data"
"630","92.732399889","10.0.2.15","157.240.195.56","TCP","54","58250  >  443 [ACK] Seq=3027 Ack=1227 Win=64028 Len=0"
"631","94.209611279","157.240.195.56","10.0.2.15","TLSv1.2","601","Application Data"
"632","94.209677833","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=7530 Ack=24885 Win=62779 Len=0"
"633","94.247339222","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"634","94.247863591","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=24885 Ack=7620 Win=65535 Len=0"
"635","94.402174762","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"636","94.404477230","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"637","94.404983652","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=25014 Ack=7714 Win=65535 Len=0"
"638","94.604739138","157.240.195.56","10.0.2.15","TLSv1.2","1323","Application Data"
"639","94.648161167","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=7714 Ack=26283 Win=62779 Len=0"
"640","94.652844992","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"641","94.653328980","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=26283 Ack=7804 Win=65535 Len=0"
"642","94.819974908","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"643","94.820034827","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=7804 Ack=26412 Win=62779 Len=0"
"644","94.828435720","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"645","94.829995246","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=26412 Ack=7898 Win=65535 Len=0"
"646","94.982985596","157.240.195.56","10.0.2.15","TCP","1514","443  >  33254 [ACK] Seq=26412 Ack=7898 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"647","94.982985918","157.240.195.56","10.0.2.15","TLSv1.2","60","Application Data"
"648","94.983048258","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=7898 Ack=27873 Win=62779 Len=0"
"649","95.014975130","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"650","95.015554227","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=27873 Ack=7988 Win=65535 Len=0"
"651","95.214910781","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"652","95.219830031","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"653","95.220296699","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=28002 Ack=8082 Win=65535 Len=0"
"654","95.274632282","157.240.195.56","10.0.2.15","TLSv1.2","859","Application Data"
"655","95.301782472","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"656","95.302203244","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=28807 Ack=8172 Win=65535 Len=0"
"657","95.494393093","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"658","95.499453020","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"659","95.499881809","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=28936 Ack=8266 Win=65535 Len=0"
"674","105.702286971","157.240.195.56","10.0.2.15","TLSv1.2","601","Application Data"
"675","105.744186560","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=8266 Ack=29483 Win=62779 Len=0"
